"id","name","gender","school_level","shift","student_drop_count"
1413079,"Karala-GBSSS","Boys","Sr.Secondary","Evening",163
1412132,"Nithari-GBSSS","Boys","Sr.Secondary","Evening",163
1925014,"Tuglakabad Village- SBV","Boys","Sarvodaya Sr.Secondary","Evening",163
1618314,"Bindapur, No.2- GBSSS","Boys","Sr.Secondary","Evening",162
1720015,"Inderpuri, Budh Nagar, F- Block- S(Co-ed)V","Co-ed","Sarvodaya Sr.Secondary","General",161
1105001,"Shahadara, G.T. Road-SBV (Gandhi Memorial)","Boys","Sarvodaya Sr.Secondary","Evening",160
1925400,"Molar Band, No.4- GGSSS","Girls","Sr.Secondary","Morning",160
1514006,"Tilak Nagar, No.2-SBV","Boys","Sarvodaya Sr.Secondary","General",159
1310431,"Shahbad Daulatpur- GBSSS","Boys","Sr.Secondary","Evening",159
1923081,"Chattarpur, Acharya Tulsi  SBV","Boys","Sarvodaya Sr.Secondary","General",159
1309280,"Bhalswa Village, Sarvodaya Vidyalaya","Co-ed","Sarvodaya Sr.Secondary","General",159
1413030,"Rohini, Avantika, Sector 1-SKV","Girls","Sarvodaya Sr.Secondary","Morning",158
1002005,"West Vinod Nagar-SBV","Boys","Sarvodaya Sr.Secondary","Evening",158
1310460,"Bawana, J.J Colony- GGSS","Girls","Secondary","Morning",157
1514011,"Chand Nagar, No.1-SKV","Girls","Sarvodaya Sr.Secondary","Morning",156
1514016,"Tilak Nagar, No.3-SKV","Girls","Sarvodaya Sr.Secondary","General",156
1002184,"Gazipur-SKV","Girls","Sarvodaya Sr.Secondary","Morning",156
1104027,"Yamuna Vihar, Block B, No.2-GGSSS","Girls","Sr.Secondary","Morning",156
1925340,"Madanpur Khadar Extn. J.J.Colony  GGSSS","Girls","Sr.Secondary","Morning",156
1617007,"New Multan Nagar-SV(Co-ed)","Co-ed","Sarvodaya Sr.Secondary","General",156
1618281,"Hastsal, Janta Flats- SBV","Boys","Sarvodaya Sr.Secondary","Evening",156
1104004,"Gokalpur Village-GBSSS","Boys","Sr.Secondary","Evening",155
1924032,"East of Kailash, No.1-GGSSS","Girls","Sr.Secondary","General",155
1925020,"Tuglakabad Extn., No.2-GBSSS","Boys","Sr.Secondary","Evening",155
1105017,"Jafrabad Extn.-GBSSS","Boys","Sr.Secondary","General",155
1617137,"Paschim Vihar, B 3-G(Co-ed)SSS","Co-ed","Sr.Secondary","General",154
